"";"orgao";"uniorcam";"funcao";"subfuncao";"programa";"projativ";"rubrica";"recurso_vinculado";"contrapartida_recurso_vinculado";"numero_empenho";"credor";"caracteristica_peculiar";"complemento_recurso_vinculado";"ano_empenho";"cnpj";"data_base";"data_geracao";"entidade";"empenhado";"liquidado";"pago"
"52";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000005109";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"53";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000005110";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"54";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000005128";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"55";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000005173";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"56";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000005647";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"57";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000005648";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"58";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000005663";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"59";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000005708";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"60";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000006364";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"61";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000006365";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"62";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000006383";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"63";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000006428";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"64";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.37.00.00.000";"0001";"0000";"0202000001130";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";14,2;14,2;14,2
"65";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.37.00.00.000";"0001";"0000";"0202000001784";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";14,2;14,2;14,2
"66";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.37.00.00.000";"0001";"0000";"0202000002268";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";14,2;14,2;14,2
"67";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.37.00.00.000";"0001";"0000";"0202000002714";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";14,2;14,2;14,2
"68";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.37.00.00.000";"0001";"0000";"0202000003152";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";14,2;14,2;14,2
"69";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.37.00.00.000";"0001";"0000";"0202000003607";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";14,2;14,2;14,2
"70";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.37.00.00.000";"0001";"0000";"0202000004081";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";14,2;14,2;14,2
"71";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.37.00.00.000";"0001";"0000";"0202000004630";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";14,2;14,2;14,2
"72";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.37.00.00.000";"0001";"0000";"0202000005098";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";14,2;14,2;14,2
"73";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.37.00.00.000";"0001";"0000";"0202000005639";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";14,2;14,2;14,2
"74";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.37.00.00.000";"0001";"0000";"0202000006356";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";14,2;14,2;14,2
"75";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.43.00.00.000";"0001";"0000";"0202000006060";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";22668,75;22668,75;22668,75
"76";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.43.00.00.000";"0001";"0000";"0202000006070";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1749,57;1749,57;1749,57
"77";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.45.00.00.000";"0001";"0000";"0202000000540";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";4500;4500;4500
